step,loss
10,15.76852
20,3.36301
30,2.79170
40,2.67556
50,2.60679
60,2.58793
70,2.61412
80,2.35010
90,2.47646
100,2.66279
110,2.51412
120,2.47269
130,2.28355
140,2.36854
150,2.49812
160,2.62006
170,2.58032
180,2.51694
190,2.37886
200,2.33768
210,2.49085
220,2.59882
230,2.34329
240,2.38109
250,2.41710
260,2.47280
270,2.60051
280,2.53483
290,2.51325
300,2.55470
310,2.49076
320,2.54906
330,2.50230
340,2.34140
350,2.37266
360,2.34713
370,2.48564
380,2.49792
390,2.49431
400,2.37996
410,2.51326
420,2.48694
430,2.52482
440,2.15253
450,2.16002
460,2.42374
470,2.37880
480,2.41897
490,2.43837
500,2.45883
510,2.34818
520,2.42995
530,2.45078
540,2.38364
550,2.53759
560,2.49681
570,2.21815
580,2.05653
590,2.25796
600,2.23550
610,2.37828
620,2.52427
630,2.26029
640,2.37241
650,2.49354
660,2.40768
670,2.37819
680,2.16528
690,2.51767
700,2.54418
710,2.16431
720,2.30146
730,2.31099
740,2.44688
750,2.54207
760,2.61299
770,2.38974
780,2.26807
790,2.19289
800,2.14412
810,2.32669
820,2.04792
830,2.32983
840,2.42753
850,2.15447
860,2.11441
870,2.18899
880,2.39361
890,2.30794
900,2.21068
910,2.41612
920,2.11894
930,2.32295
940,2.45387
950,2.51870
960,2.25039
970,2.50167
980,2.33876
990,2.24919
1000,1.91901
